Residence State,Residence County,r_GEOID,Workplace State,Workplace County,w_GEOID,Workers,r_lon,r_lat,w_lon,w_lat
Oregon,Baker County,1,Oregon,Union County,26,348,-117.6755,44.7091,-118.009,45.3104
Oregon,Benton County,2,Oregon,Clackamas County,3,140,-123.4289,44.4912,-122.2203,45.188
Oregon,Benton County,2,Oregon,Lane County,16,1287,-123.4289,44.4912,-122.8464,43.9388
Oregon,Benton County,2,Oregon,Lincoln County,17,156,-123.4289,44.4912,-123.868,44.6419
Oregon,Benton County,2,Oregon,Linn County,18,4720,-123.4289,44.4912,-122.5352,44.4891
Oregon,Benton County,2,Oregon,Marion County,20,1088,-123.4289,44.4912,-122.5845,44.9033
Oregon,Benton County,2,Oregon,Multnomah County,21,399,-123.4289,44.4912,-122.4148,45.5467
Oregon,Benton County,2,Oregon,Polk County,22,384,-123.4289,44.4912,-123.4131,44.9032
Oregon,Benton County,2,Oregon,Washington County,28,149,-123.4289,44.4912,-123.098,45.5594
Oregon,Benton County,2,Oregon,Yamhill County,29,110,-123.4289,44.4912,-123.3088,45.2322
Oregon,Clackamas County,3,Oregon,Hood River County,11,144,-122.2203,45.188,-121.6513,45.5193
Oregon,Clackamas County,3,Oregon,Lane County,16,193,-122.2203,45.188,-122.8464,43.9388
Oregon,Clackamas County,3,Oregon,Linn County,18,259,-122.2203,45.188,-122.5352,44.4891
Oregon,Clackamas County,3,Oregon,Marion County,20,5440,-122.2203,45.188,-122.5845,44.9033
Oregon,Clackamas County,3,Oregon,Multnomah County,21,59193,-122.2203,45.188,-122.4148,45.5467
Oregon,Clackamas County,3,Oregon,Polk County,22,116,-122.2203,45.188,-123.4131,44.9032
Oregon,Clackamas County,3,Oregon,Washington County,28,21808,-122.2203,45.188,-123.098,45.5594
Oregon,Clackamas County,3,Oregon,Yamhill County,29,875,-122.2203,45.188,-123.3088,45.2322
Oregon,Clackamas County,3,Washington,Clark County,40,2683,-122.2203,45.188,-122.4822,45.7792
